compound_id,name,smiles,molecular_weight,xlogp,h_bond_donors,h_bond_acceptors,rotatable_bonds,tpsa,num_atoms,num_rings,source_db,node_type
EANPDB_011,Luteolin,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,286.24,2.28,4.0,6.0,1.0,111.13,21.0,3.0,ANPDB/EANPDB,compound
EANPDB_012,Ursolic acid,CC1(C)CC[C@@]2(CC[C@]3(C)[C@@H](CC[C@@H]4[C@@]3(CC[C@@H]3C(C)(C)C(=O)CC[C@]43C)[C@@H]2C1)C(=O)O)C,456.71,7.52,1.0,2.0,1.0,54.37,33.0,5.0,ANPDB/EANPDB,compound
NPASS:NPC10,Thymol,Cc1ccc(C(C)C)cc1O,150.22,2.82,1.0,1.0,1.0,20.23,11.0,1.0,NPASS,compound
NPASS:NPC12,Eugenol,C=CCc1ccc(O)c(OC)c1,164.2,2.13,1.0,2.0,3.0,29.46,12.0,1.0,NPASS,compound
NPASS:NPC13,Caffeic acid,OC(=O)/C=C/c1ccc(O)c(O)c1,180.16,1.2,3.0,3.0,2.0,77.76,13.0,1.0,NPASS,compound
NPASS:NPC14,Gallic acid,OC(=O)c1cc(O)c(O)c(O)c1,170.12,0.5,4.0,4.0,1.0,97.99,12.0,1.0,NPASS,compound
NPASS:NPC15,Apigenin,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,270.24,2.58,3.0,5.0,1.0,90.9,20.0,3.0,NPASS,compound
LIT:eda5b151,Ugandensidial,O=C[C@H]1[C@@H](C=O)CC[C@]2(C)[C@@H]1CC[C@@H]2C,208.3,2.46,0.0,2.0,2.0,34.14,15.0,2.0,Literature,compound
LIT:3931061e,Muzigadial,O=C[C@@H]1[C@H](C=O)CC[C@]2(CO)[C@@H]1CC[C@@H]2C,224.3,1.44,1.0,3.0,3.0,54.37,16.0,2.0,Literature,compound
LIT:410fae15,Combretol,OC1=CC(=O)c2c(O)cc(O)cc2C1=O,206.15,0.92,3.0,5.0,0.0,94.83,15.0,2.0,Literature,compound
LIT:14b4531f,Quercetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,1.99,5.0,7.0,1.0,131.36,22.0,3.0,Literature,compound
LIT:c192aad6,Combretastatin,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O,316.35,3.6,1.0,5.0,6.0,57.15,23.0,2.0,Literature,compound
LIT:8fa5f67e,Gallic acid,OC(=O)c1cc(O)c(O)c(O)c1,170.12,0.5,4.0,4.0,1.0,97.99,12.0,1.0,Literature,compound
LIT:ebe6ef5c,Ellagic acid,O=c1oc2c(O)c(O)cc3c2c1=c1c(O)c(O)cc2oc(=O)c3c12,326.22,1.9,4.0,8.0,0.0,141.34,24.0,5.0,Literature,compound
LIT:268b15f2,Oleanolic acid,CC1(C)CC[C@@]2(CC[C@]3(C)[C@@H](CC[C@@H]4[C@@]3(CCC(=O)[C@@H]4C(=O)O)C)[C@@H]2C1)C,374.57,5.72,1.0,2.0,1.0,54.37,27.0,4.0,Literature,compound
LIT:426951fa,Berberine,COc1ccc2c(c1OC)-c1cc3ccc(OC)c(OC)c3cc1[N+]2=C,350.39,4.39,0.0,4.0,4.0,39.93,26.0,4.0,Literature,compound
LIT:bb505298,Chelerythrine,COc1ccc2cc3[n+](cc2c1OC)-c1cc2c(OC)c(OC)cc2cc1CC3,,,,,,,,,Literature,compound
LIT:81801ceb,Xanthyletin,O=c1ccc2ccc3ccoc3c2o1,186.17,2.54,0.0,3.0,0.0,43.35,14.0,3.0,Literature,compound
LIT:b5b118f7,Eugenol,C=CCc1ccc(O)c(OC)c1,164.2,2.13,1.0,2.0,3.0,29.46,12.0,1.0,Literature,compound
LIT:f1173228,Thymol,Cc1ccc(C(C)C)cc1O,150.22,2.82,1.0,1.0,1.0,20.23,11.0,1.0,Literature,compound
LIT:53d997ac,Luteolin,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,286.24,2.28,4.0,6.0,1.0,111.13,21.0,3.0,Literature,compound
LIT:d26ea75a,Apigenin,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,270.24,2.58,3.0,5.0,1.0,90.9,20.0,3.0,Literature,compound
LIT:c578588b,Vernodalin,O=C1O[C@@H]2C[C@H]3C(=C)[C@@H](OC(=O)CC)[C@H](O)[C@]3(C)[C@@H]1[C@H]2OC(C)=O,338.36,0.74,1.0,7.0,3.0,99.13,24.0,3.0,Literature,compound
LIT:c841407f,Vernolide,O=C1O[C@@H]2C[C@H]3C(=C)[C@@H](O)[C@H](OC(=O)CC)[C@]3(C)[C@@H]1[C@H]2O,296.32,0.17,2.0,6.0,2.0,93.06,21.0,3.0,Literature,compound
LIT:9dbec867,Luteolin,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,286.24,2.28,4.0,6.0,1.0,111.13,21.0,3.0,Literature,compound
LIT:b908bd1e,Quercetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,1.99,5.0,7.0,1.0,131.36,22.0,3.0,Literature,compound
LIT:f2dfc2ec,Catechin,O[C@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)c(O)c1,290.27,1.55,5.0,6.0,1.0,110.38,21.0,3.0,Literature,compound
LIT:9a904b58,Gallic acid,OC(=O)c1cc(O)c(O)c(O)c1,170.12,0.5,4.0,4.0,1.0,97.99,12.0,1.0,Literature,compound
LIT:c8974ee5,Plumbagin,Cc1cc(=O)c2cccc(O)c2n1,,,,,,,,,Literature,compound
LIT:9460fa09,Plumbagin 3-oxide,Cc1cc(=O)c2cccc(O)c2[n+]1[O-],,,,,,,,,Literature,compound
LIT:033284d8,Harrisonine,O=c1cc2ccc3c(c2[nH]1)OCO3,,,,,,,,,Literature,compound
LIT:7b1bbe1f,Harrisonidine,O=C1NC(=O)c2ccc3c(c21)OCO3,191.14,0.3,1.0,4.0,0.0,64.63,14.0,3.0,Literature,compound
LIT:76bf1763,Kosotoxin,O=C1CC(c2ccc(O)c(O)c2)Cc2c(O)c(CC(=O)c3c(O)cc(O)cc3O)c(O)cc21,452.42,2.96,7.0,9.0,4.0,175.75,33.0,4.0,Literature,compound
LIT:baf107b9,Haginin,O=C(O)c1cc(O)c(O)c(O)c1,170.12,0.5,4.0,4.0,1.0,97.99,12.0,1.0,Literature,compound
LIT:d9df30d7,Hautriwaic acid,OC(=O)[C@@H]1CC[C@H](O)CC1,144.17,0.62,2.0,2.0,1.0,57.53,10.0,1.0,Literature,compound
LIT:2fb47185,Isorhamnetin,COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O,316.27,2.29,4.0,7.0,2.0,120.36,23.0,3.0,Literature,compound
LIT:ab015158,Kaempferol,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,286.24,2.28,4.0,6.0,1.0,111.13,21.0,3.0,Literature,compound
LIT:b95d50f8,Maesabalide III,OC1OC(CO)C(O)C(O)C1Oc1cc2c(cc1O)C(=O)c1c(O)cccc1C2=O,418.35,-0.95,6.0,10.0,3.0,173.98,30.0,4.0,Literature,compound
LIT:773cb3c2,Methyl maesate,COC(=O)c1cc(O)c(O)c(O)c1,184.15,0.59,3.0,5.0,1.0,86.99,13.0,1.0,Literature,compound
LIT:8fcfcb8b,Abyssinin,COc1cc2ccc(=O)oc2cc1O,192.17,1.51,1.0,4.0,1.0,59.67,14.0,2.0,Literature,compound
LIT:de80d999,Erysotrine,COc1ccc2c(c1)[C@@H]1N(C)CC[C@]2(C)c2c1cc(OC)c(OC)c2,339.44,3.76,0.0,4.0,3.0,30.93,25.0,5.0,Literature,compound
LIT:6e7dc070,Erysonine,COc1ccc2c(c1)[C@@H]1N(C)CC[C@]2(C)c2cc(OC)c(OC)cc21,339.44,3.76,0.0,4.0,3.0,30.93,25.0,5.0,Literature,compound
LIT:ef9b7722,Moringin,N=C(NOS(=O)(=O)O)SCCc1ccc(OC2OC(CO)C(O)C(O)C2O)cc1,454.48,-1.6,7.0,11.0,8.0,198.86,29.0,2.0,Literature,compound
LIT:c822c2a2,Ursolic acid,CC1(C)CC[C@@]2(CC[C@]3(C)[C@@H](CC[C@@H]4[C@@]3(CC[C@@H]3C(C)(C)C(=O)CC[C@]43C)[C@@H]2C1)C(=O)O)C,456.71,7.52,1.0,2.0,1.0,54.37,33.0,5.0,Literature,compound
LIT:26205fa2,AKBA,CC(C)(O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]12C(=O)O,418.62,5.47,2.0,3.0,5.0,74.6,30.0,4.0,Literature,compound
LIT:c6cc61dc,Lupeol,CC(=C)[C@@H]1CC[C@]2(C)[C@@H]1CC[C@H]1[C@@H]2CC[C@H]2C(C)(C)[C@@H](O)CC[C@]12C,344.58,6.22,1.0,1.0,1.0,20.23,25.0,4.0,Literature,compound
LIT:6bd776e4,Artemisinin,O=C1OC2CC3(C)C(=O)OC[C@@H]3[C@H]2[C@@H]1C,210.23,0.75,0.0,4.0,0.0,52.6,15.0,3.0,Literature,compound
LIT:fa885374,Camphor,CC1(C)[C@@H]2CC[C@@](C)(C2)C1=O,152.24,2.4,0.0,1.0,0.0,17.07,11.0,2.0,Literature,compound
LIT:e0cd3116,"1,8-Cineole",C[C@]12CC[C@H](CC1)O2,112.17,1.72,0.0,1.0,0.0,9.23,8.0,2.0,Literature,compound
LIT:fca6bde6,Carpaine,O=C1CCCCCCC[C@@H](CC[C@@H](O)CC[C@@H](NC1=O)C)O,313.44,2.09,3.0,4.0,0.0,86.63,22.0,1.0,Literature,compound
LIT:cb273d2a,Kaempferol,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,286.24,2.28,4.0,6.0,1.0,111.13,21.0,3.0,Literature,compound
LIT:e0968230,Quercetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,1.99,5.0,7.0,1.0,131.36,22.0,3.0,Literature,compound
LIT:b5fa8b91,Guajaverin,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,464.38,-0.54,8.0,12.0,4.0,210.51,33.0,4.0,Literature,compound
LIT:1adbbace,Avicularin,O=c1c(O[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,434.35,0.1,7.0,11.0,3.0,190.28,31.0,4.0,Literature,compound
LIT:6b7d17a8,Azadirachtin,CC(=O)OC1CC2(C)C(CC[C@H]2O)C2C(=C)C(OC(=O)CC)C3OC(=O)[C@@H]3[C@@]12C,406.48,2.15,1.0,7.0,3.0,99.13,29.0,4.0,Literature,compound
LIT:ef607b11,Nimbin,COC(=O)[C@@H]1C[C@@]2(C)[C@@H](CC[C@H]2OC(C)=O)[C@H]2OC(=O)[C@H](OC(C)=O)[C@]12C,382.41,1.39,0.0,8.0,3.0,105.2,27.0,3.0,Literature,compound
LIT:da029a84,Gedunin,CC(=O)OC1CC2(C)C(CCC2=O)C2CC(=O)c3ccoc3C12C,330.38,3.06,0.0,5.0,1.0,73.58,24.0,4.0,Literature,compound
