"compound_id","name","smiles","source_species","country","bioactivity","target_organism","reference","source_db","activity_value","activity_type","ailment_treated","compound_class","molecular_weight","xlogp","h_bond_donors","h_bond_acceptors","rotatable_bonds","tpsa","num_atoms","num_rings","label_antibacterial","mic_value","log_mic"
"LIT:033284d8","Harrisonine","O=c1cc2ccc3c(c2[nH]1)OCO3","Harrisonia abyssinica","Kenya/Tanzania","antibacterial","E. coli","PMC8970882; PMC7685152; PMC9951921","Literature","","","intestinal infections","limonoids/alkaloids","","","","","","","","","1","",""
"LIT:033284d8","Harrisonine","O=c1cc2ccc3c(c2[nH]1)OCO3","Harrisonia abyssinica","Kenya/Tanzania","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","intestinal infections","limonoids/alkaloids","","","","","","","","","1","",""
"LIT:14b4531f","Quercetin","O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","Combretum molle","Tanzania/Kenya","antibacterial","E. coli","PMC8970882; PMC7685152; PMC9951921","Literature","","","skin infections, diarrhoea","tannins/flavonoids","302.24","1.99","5.0","7.0","1.0","131.36","22.0","3.0","1","",""
"LIT:14b4531f","Quercetin","O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","Combretum molle","Tanzania/Kenya","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","skin infections, diarrhoea","tannins/flavonoids","302.24","1.99","5.0","7.0","1.0","131.36","22.0","3.0","1","",""
"LIT:1adbbace","Avicularin","O=c1c(O[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","Psidium guajava","East Africa (widespread)","antibacterial","E. coli","PMC8970882; PMC7685152; PMC9951921","Literature","","","diarrhoea, dysentery","flavonoids/tannins","434.35","0.1","7.0","11.0","3.0","190.28","31.0","4.0","1","",""
"LIT:1adbbace","Avicularin","O=c1c(O[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","Psidium guajava","East Africa (widespread)","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","diarrhoea, dysentery","flavonoids/tannins","434.35","0.1","7.0","11.0","3.0","190.28","31.0","4.0","1","",""
"LIT:1adbbace","Avicularin","O=c1c(O[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","Psidium guajava","East Africa (widespread)","antibacterial","S. typhi","PMC8970882; PMC7685152; PMC9951921","Literature","","","diarrhoea, dysentery","flavonoids/tannins","434.35","0.1","7.0","11.0","3.0","190.28","31.0","4.0","1","",""
"LIT:26205fa2","AKBA","CC(C)(O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]12C(=O)O","Boswellia papyrifera","Ethiopia","antibacterial","M. tuberculosis","PMC8970882; PMC7685152; PMC9951921","Literature","","","respiratory infections","triterpenoids/boswellic acids","418.62","5.47","2.0","3.0","5.0","74.6","30.0","4.0","1","",""
"LIT:26205fa2","AKBA","CC(C)(O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]12C(=O)O","Boswellia papyrifera","Ethiopia","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","respiratory infections","triterpenoids/boswellic acids","418.62","5.47","2.0","3.0","5.0","74.6","30.0","4.0","1","",""
"LIT:268b15f2","Oleanolic acid","CC1(C)CC[C@@]2(CC[C@]3(C)[C@@H](CC[C@@H]4[C@@]3(CCC(=O)[C@@H]4C(=O)O)C)[C@@H]2C1)C","Terminalia brownii","Kenya/Ethiopia","antibacterial","E. coli","PMC8970882; PMC7685152; PMC9951921","Literature","","","wound infections, dysentery","tannins/triterpenoids","374.57","5.72","1.0","2.0","1.0","54.37","27.0","4.0","1","",""
"LIT:268b15f2","Oleanolic acid","CC1(C)CC[C@@]2(CC[C@]3(C)[C@@H](CC[C@@H]4[C@@]3(CCC(=O)[C@@H]4C(=O)O)C)[C@@H]2C1)C","Terminalia brownii","Kenya/Ethiopia","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","wound infections, dysentery","tannins/triterpenoids","374.57","5.72","1.0","2.0","1.0","54.37","27.0","4.0","1","",""
"LIT:268b15f2","Oleanolic acid","CC1(C)CC[C@@]2(CC[C@]3(C)[C@@H](CC[C@@H]4[C@@]3(CCC(=O)[C@@H]4C(=O)O)C)[C@@H]2C1)C","Terminalia brownii","Kenya/Ethiopia","antibacterial","S. typhi","PMC8970882; PMC7685152; PMC9951921","Literature","","","wound infections, dysentery","tannins/triterpenoids","374.57","5.72","1.0","2.0","1.0","54.37","27.0","4.0","1","",""
"LIT:2fb47185","Isorhamnetin","COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O","Dodonaea angustifolia","Ethiopia","antibacterial","E. coli","PMC8970882; PMC7685152; PMC9951921","Literature","","","wound infections","flavonoids","316.27","2.29","4.0","7.0","2.0","120.36","23.0","3.0","1","",""
"LIT:2fb47185","Isorhamnetin","COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O","Dodonaea angustifolia","Ethiopia","antibacterial","P. aeruginosa","PMC8970882; PMC7685152; PMC9951921","Literature","","","wound infections","flavonoids","316.27","2.29","4.0","7.0","2.0","120.36","23.0","3.0","1","",""
"LIT:2fb47185","Isorhamnetin","COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O","Dodonaea angustifolia","Ethiopia","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","wound infections","flavonoids","316.27","2.29","4.0","7.0","2.0","120.36","23.0","3.0","1","",""
"LIT:410fae15","Combretol","OC1=CC(=O)c2c(O)cc(O)cc2C1=O","Combretum molle","Tanzania/Kenya","antibacterial","E. coli","PMC8970882; PMC7685152; PMC9951921","Literature","","","skin infections, diarrhoea","tannins/flavonoids","206.15","0.92","3.0","5.0","0.0","94.83","15.0","2.0","1","",""
"LIT:410fae15","Combretol","OC1=CC(=O)c2c(O)cc(O)cc2C1=O","Combretum molle","Tanzania/Kenya","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","skin infections, diarrhoea","tannins/flavonoids","206.15","0.92","3.0","5.0","0.0","94.83","15.0","2.0","1","",""
"LIT:53d997ac","Luteolin","O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","Ocimum gratissimum","Kenya/Tanzania","antibacterial","E. coli","PMC8970882; PMC7685152; PMC9951921","Literature","","","respiratory, skin infections","phenylpropanoids","286.24","2.28","4.0","6.0","1.0","111.13","21.0","3.0","1","",""
"LIT:53d997ac","Luteolin","O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","Ocimum gratissimum","Kenya/Tanzania","antibacterial","P. aeruginosa","PMC8970882; PMC7685152; PMC9951921","Literature","","","respiratory, skin infections","phenylpropanoids","286.24","2.28","4.0","6.0","1.0","111.13","21.0","3.0","1","",""
"LIT:53d997ac","Luteolin","O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","Ocimum gratissimum","Kenya/Tanzania","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","respiratory, skin infections","phenylpropanoids","286.24","2.28","4.0","6.0","1.0","111.13","21.0","3.0","1","",""
"LIT:6b7d17a8","Azadirachtin","CC(=O)OC1CC2(C)C(CC[C@H]2O)C2C(=C)C(OC(=O)CC)C3OC(=O)[C@@H]3[C@@]12C","Azadirachta indica","East Africa (widespread)","antibacterial","E. coli","PMC8970882; PMC7685152; PMC9951921","Literature","","","skin infections, malaria","limonoids/triterpenoids","406.48","2.15","1.0","7.0","3.0","99.13","29.0","4.0","1","",""
"LIT:6b7d17a8","Azadirachtin","CC(=O)OC1CC2(C)C(CC[C@H]2O)C2C(=C)C(OC(=O)CC)C3OC(=O)[C@@H]3[C@@]12C","Azadirachta indica","East Africa (widespread)","antibacterial","M. tuberculosis","PMC8970882; PMC7685152; PMC9951921","Literature","","","skin infections, malaria","limonoids/triterpenoids","406.48","2.15","1.0","7.0","3.0","99.13","29.0","4.0","1","",""
"LIT:6b7d17a8","Azadirachtin","CC(=O)OC1CC2(C)C(CC[C@H]2O)C2C(=C)C(OC(=O)CC)C3OC(=O)[C@@H]3[C@@]12C","Azadirachta indica","East Africa (widespread)","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","skin infections, malaria","limonoids/triterpenoids","406.48","2.15","1.0","7.0","3.0","99.13","29.0","4.0","1","",""
"LIT:6bd776e4","Artemisinin","O=C1OC2CC3(C)C(=O)OC[C@@H]3[C@H]2[C@@H]1C","Artemisia afra","Kenya/Tanzania","antibacterial","E. coli","PMC8970882; PMC7685152; PMC9951921","Literature","","","malaria, respiratory","monoterpenes/sesquiterpenes","210.23","0.75","0.0","4.0","0.0","52.6","15.0","3.0","1","",""
"LIT:6bd776e4","Artemisinin","O=C1OC2CC3(C)C(=O)OC[C@@H]3[C@H]2[C@@H]1C","Artemisia afra","Kenya/Tanzania","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","malaria, respiratory","monoterpenes/sesquiterpenes","210.23","0.75","0.0","4.0","0.0","52.6","15.0","3.0","1","",""
"LIT:6e7dc070","Erysonine","COc1ccc2c(c1)[C@@H]1N(C)CC[C@]2(C)c2cc(OC)c(OC)cc21","Erythrina abyssinica","Uganda/Kenya","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","infections, inflammation","isoflavonoids/alkaloids","339.44","3.76","0.0","4.0","3.0","30.93","25.0","5.0","1","",""
"LIT:6e7dc070","Erysonine","COc1ccc2c(c1)[C@@H]1N(C)CC[C@]2(C)c2cc(OC)c(OC)cc21","Erythrina abyssinica","Uganda/Kenya","antibacterial","Streptococcus pneumoniae","PMC8970882; PMC7685152; PMC9951921","Literature","","","infections, inflammation","isoflavonoids/alkaloids","339.44","3.76","0.0","4.0","3.0","30.93","25.0","5.0","1","",""
"LIT:76bf1763","Kosotoxin","O=C1CC(c2ccc(O)c(O)c2)Cc2c(O)c(CC(=O)c3c(O)cc(O)cc3O)c(O)cc21","Hagenia abyssinica","Ethiopia","antibacterial","E. coli","PMC8970882; PMC7685152; PMC9951921","Literature","","","tapeworm, antimicrobial","phloroglucinols","452.42","2.96","7.0","9.0","4.0","175.75","33.0","4.0","1","",""
"LIT:76bf1763","Kosotoxin","O=C1CC(c2ccc(O)c(O)c2)Cc2c(O)c(CC(=O)c3c(O)cc(O)cc3O)c(O)cc21","Hagenia abyssinica","Ethiopia","antibacterial","S. typhi","PMC8970882; PMC7685152; PMC9951921","Literature","","","tapeworm, antimicrobial","phloroglucinols","452.42","2.96","7.0","9.0","4.0","175.75","33.0","4.0","1","",""
"LIT:773cb3c2","Methyl maesate","COC(=O)c1cc(O)c(O)c(O)c1","Maesa lanceolata","Ethiopia/Uganda","antibacterial","E. coli","PMC8970882; PMC7685152; PMC9951921","Literature","","","skin infections, diarrhoea","saponins/flavonoids","184.15","0.59","3.0","5.0","1.0","86.99","13.0","1.0","1","",""
"LIT:773cb3c2","Methyl maesate","COC(=O)c1cc(O)c(O)c(O)c1","Maesa lanceolata","Ethiopia/Uganda","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","skin infections, diarrhoea","saponins/flavonoids","184.15","0.59","3.0","5.0","1.0","86.99","13.0","1.0","1","",""
"LIT:7b1bbe1f","Harrisonidine","O=C1NC(=O)c2ccc3c(c21)OCO3","Harrisonia abyssinica","Kenya/Tanzania","antibacterial","E. coli","PMC8970882; PMC7685152; PMC9951921","Literature","","","intestinal infections","limonoids/alkaloids","191.14","0.3","1.0","4.0","0.0","64.63","14.0","3.0","1","",""
"LIT:7b1bbe1f","Harrisonidine","O=C1NC(=O)c2ccc3c(c21)OCO3","Harrisonia abyssinica","Kenya/Tanzania","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","intestinal infections","limonoids/alkaloids","191.14","0.3","1.0","4.0","0.0","64.63","14.0","3.0","1","",""
"LIT:8fa5f67e","Gallic acid","OC(=O)c1cc(O)c(O)c(O)c1","Terminalia brownii","Kenya/Ethiopia","antibacterial","E. coli","PMC8970882; PMC7685152; PMC9951921","Literature","","","wound infections, dysentery","tannins/triterpenoids","170.12","0.5","4.0","4.0","1.0","97.99","12.0","1.0","1","",""
"LIT:8fa5f67e","Gallic acid","OC(=O)c1cc(O)c(O)c(O)c1","Terminalia brownii","Kenya/Ethiopia","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","wound infections, dysentery","tannins/triterpenoids","170.12","0.5","4.0","4.0","1.0","97.99","12.0","1.0","1","",""
"LIT:8fa5f67e","Gallic acid","OC(=O)c1cc(O)c(O)c(O)c1","Terminalia brownii","Kenya/Ethiopia","antibacterial","S. typhi","PMC8970882; PMC7685152; PMC9951921","Literature","","","wound infections, dysentery","tannins/triterpenoids","170.12","0.5","4.0","4.0","1.0","97.99","12.0","1.0","1","",""
"LIT:8fcfcb8b","Abyssinin","COc1cc2ccc(=O)oc2cc1O","Erythrina abyssinica","Uganda/Kenya","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","infections, inflammation","isoflavonoids/alkaloids","192.17","1.51","1.0","4.0","1.0","59.67","14.0","2.0","1","",""
"LIT:8fcfcb8b","Abyssinin","COc1cc2ccc(=O)oc2cc1O","Erythrina abyssinica","Uganda/Kenya","antibacterial","Streptococcus pneumoniae","PMC8970882; PMC7685152; PMC9951921","Literature","","","infections, inflammation","isoflavonoids/alkaloids","192.17","1.51","1.0","4.0","1.0","59.67","14.0","2.0","1","",""
"LIT:9460fa09","Plumbagin 3-oxide","Cc1cc(=O)c2cccc(O)c2[n+]1[O-]","Plumbago zeylanica","Tanzania/Kenya","antibacterial","E. coli","PMC8970882; PMC7685152; PMC9951921","Literature","","","wound healing, STIs","naphthoquinones","","","","","","","","","1","",""
"LIT:9460fa09","Plumbagin 3-oxide","Cc1cc(=O)c2cccc(O)c2[n+]1[O-]","Plumbago zeylanica","Tanzania/Kenya","antibacterial","M. tuberculosis","PMC8970882; PMC7685152; PMC9951921","Literature","","","wound healing, STIs","naphthoquinones","","","","","","","","","1","",""
"LIT:9460fa09","Plumbagin 3-oxide","Cc1cc(=O)c2cccc(O)c2[n+]1[O-]","Plumbago zeylanica","Tanzania/Kenya","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","wound healing, STIs","naphthoquinones","","","","","","","","","1","",""
"LIT:9a904b58","Gallic acid","OC(=O)c1cc(O)c(O)c(O)c1","Acacia nilotica","Kenya/Ethiopia","antibacterial","K. pneumoniae","PMC8970882; PMC7685152; PMC9951921","Literature","","","diarrhoea, dysentery","flavonoids/tannins","170.12","0.5","4.0","4.0","1.0","97.99","12.0","1.0","1","",""
"LIT:9dbec867","Luteolin","O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","Vernonia amygdalina","Uganda/Kenya","antibacterial","S. typhi","PMC8970882; PMC7685152; PMC9951921","Literature","","","malaria, intestinal infections","sesquiterpene lactones","286.24","2.28","4.0","6.0","1.0","111.13","21.0","3.0","1","",""
"LIT:ab015158","Kaempferol","O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12","Dodonaea angustifolia","Ethiopia","antibacterial","E. coli","PMC8970882; PMC7685152; PMC9951921","Literature","","","wound infections","flavonoids","286.24","2.28","4.0","6.0","1.0","111.13","21.0","3.0","1","",""
"LIT:ab015158","Kaempferol","O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12","Dodonaea angustifolia","Ethiopia","antibacterial","P. aeruginosa","PMC8970882; PMC7685152; PMC9951921","Literature","","","wound infections","flavonoids","286.24","2.28","4.0","6.0","1.0","111.13","21.0","3.0","1","",""
"LIT:ab015158","Kaempferol","O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12","Dodonaea angustifolia","Ethiopia","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","wound infections","flavonoids","286.24","2.28","4.0","6.0","1.0","111.13","21.0","3.0","1","",""
"LIT:b5b118f7","Eugenol","C=CCc1ccc(O)c(OC)c1","Ocimum gratissimum","Kenya/Tanzania","antibacterial","E. coli","PMC8970882; PMC7685152; PMC9951921","Literature","","","respiratory, skin infections","phenylpropanoids","164.2","2.13","1.0","2.0","3.0","29.46","12.0","1.0","1","",""
"LIT:b5b118f7","Eugenol","C=CCc1ccc(O)c(OC)c1","Ocimum gratissimum","Kenya/Tanzania","antibacterial","P. aeruginosa","PMC8970882; PMC7685152; PMC9951921","Literature","","","respiratory, skin infections","phenylpropanoids","164.2","2.13","1.0","2.0","3.0","29.46","12.0","1.0","1","",""
"LIT:b5b118f7","Eugenol","C=CCc1ccc(O)c(OC)c1","Ocimum gratissimum","Kenya/Tanzania","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","respiratory, skin infections","phenylpropanoids","164.2","2.13","1.0","2.0","3.0","29.46","12.0","1.0","1","",""
"LIT:b5fa8b91","Guajaverin","O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","Psidium guajava","East Africa (widespread)","antibacterial","E. coli","PMC8970882; PMC7685152; PMC9951921","Literature","","","diarrhoea, dysentery","flavonoids/tannins","464.38","-0.54","8.0","12.0","4.0","210.51","33.0","4.0","1","",""
"LIT:b5fa8b91","Guajaverin","O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","Psidium guajava","East Africa (widespread)","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","diarrhoea, dysentery","flavonoids/tannins","464.38","-0.54","8.0","12.0","4.0","210.51","33.0","4.0","1","",""
"LIT:b5fa8b91","Guajaverin","O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","Psidium guajava","East Africa (widespread)","antibacterial","S. typhi","PMC8970882; PMC7685152; PMC9951921","Literature","","","diarrhoea, dysentery","flavonoids/tannins","464.38","-0.54","8.0","12.0","4.0","210.51","33.0","4.0","1","",""
"LIT:b908bd1e","Quercetin","O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","Acacia nilotica","Kenya/Ethiopia","antibacterial","K. pneumoniae","PMC8970882; PMC7685152; PMC9951921","Literature","","","diarrhoea, dysentery","flavonoids/tannins","302.24","1.99","5.0","7.0","1.0","131.36","22.0","3.0","1","",""
"LIT:b95d50f8","Maesabalide III","OC1OC(CO)C(O)C(O)C1Oc1cc2c(cc1O)C(=O)c1c(O)cccc1C2=O","Maesa lanceolata","Ethiopia/Uganda","antibacterial","E. coli","PMC8970882; PMC7685152; PMC9951921","Literature","","","skin infections, diarrhoea","saponins/flavonoids","418.35","-0.95","6.0","10.0","3.0","173.98","30.0","4.0","1","",""
"LIT:b95d50f8","Maesabalide III","OC1OC(CO)C(O)C(O)C1Oc1cc2c(cc1O)C(=O)c1c(O)cccc1C2=O","Maesa lanceolata","Ethiopia/Uganda","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","skin infections, diarrhoea","saponins/flavonoids","418.35","-0.95","6.0","10.0","3.0","173.98","30.0","4.0","1","",""
"LIT:baf107b9","Haginin","O=C(O)c1cc(O)c(O)c(O)c1","Hagenia abyssinica","Ethiopia","antibacterial","E. coli","PMC8970882; PMC7685152; PMC9951921","Literature","","","tapeworm, antimicrobial","phloroglucinols","170.12","0.5","4.0","4.0","1.0","97.99","12.0","1.0","1","",""
"LIT:baf107b9","Haginin","O=C(O)c1cc(O)c(O)c(O)c1","Hagenia abyssinica","Ethiopia","antibacterial","S. typhi","PMC8970882; PMC7685152; PMC9951921","Literature","","","tapeworm, antimicrobial","phloroglucinols","170.12","0.5","4.0","4.0","1.0","97.99","12.0","1.0","1","",""
"LIT:c192aad6","Combretastatin","COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O","Combretum molle","Tanzania/Kenya","antibacterial","E. coli","PMC8970882; PMC7685152; PMC9951921","Literature","","","skin infections, diarrhoea","tannins/flavonoids","316.35","3.6","1.0","5.0","6.0","57.15","23.0","2.0","1","",""
"LIT:c192aad6","Combretastatin","COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O","Combretum molle","Tanzania/Kenya","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","skin infections, diarrhoea","tannins/flavonoids","316.35","3.6","1.0","5.0","6.0","57.15","23.0","2.0","1","",""
"LIT:c578588b","Vernodalin","O=C1O[C@@H]2C[C@H]3C(=C)[C@@H](OC(=O)CC)[C@H](O)[C@]3(C)[C@@H]1[C@H]2OC(C)=O","Vernonia amygdalina","Uganda/Kenya","antibacterial","E. coli","PMC8970882; PMC7685152; PMC9951921","Literature","","","malaria, intestinal infections","sesquiterpene lactones","338.36","0.74","1.0","7.0","3.0","99.13","24.0","3.0","1","",""
"LIT:c578588b","Vernodalin","O=C1O[C@@H]2C[C@H]3C(=C)[C@@H](OC(=O)CC)[C@H](O)[C@]3(C)[C@@H]1[C@H]2OC(C)=O","Vernonia amygdalina","Uganda/Kenya","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","malaria, intestinal infections","sesquiterpene lactones","338.36","0.74","1.0","7.0","3.0","99.13","24.0","3.0","1","",""
"LIT:c578588b","Vernodalin","O=C1O[C@@H]2C[C@H]3C(=C)[C@@H](OC(=O)CC)[C@H](O)[C@]3(C)[C@@H]1[C@H]2OC(C)=O","Vernonia amygdalina","Uganda/Kenya","antibacterial","S. typhi","PMC8970882; PMC7685152; PMC9951921","Literature","","","malaria, intestinal infections","sesquiterpene lactones","338.36","0.74","1.0","7.0","3.0","99.13","24.0","3.0","1","",""
"LIT:c6cc61dc","Lupeol","CC(=C)[C@@H]1CC[C@]2(C)[C@@H]1CC[C@H]1[C@@H]2CC[C@H]2C(C)(C)[C@@H](O)CC[C@]12C","Boswellia papyrifera","Ethiopia","antibacterial","M. tuberculosis","PMC8970882; PMC7685152; PMC9951921","Literature","","","respiratory infections","triterpenoids/boswellic acids","344.58","6.22","1.0","1.0","1.0","20.23","25.0","4.0","1","",""
"LIT:c6cc61dc","Lupeol","CC(=C)[C@@H]1CC[C@]2(C)[C@@H]1CC[C@H]1[C@@H]2CC[C@H]2C(C)(C)[C@@H](O)CC[C@]12C","Boswellia papyrifera","Ethiopia","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","respiratory infections","triterpenoids/boswellic acids","344.58","6.22","1.0","1.0","1.0","20.23","25.0","4.0","1","",""
"LIT:c841407f","Vernolide","O=C1O[C@@H]2C[C@H]3C(=C)[C@@H](O)[C@H](OC(=O)CC)[C@]3(C)[C@@H]1[C@H]2O","Vernonia amygdalina","Uganda/Kenya","antibacterial","E. coli","PMC8970882; PMC7685152; PMC9951921","Literature","","","malaria, intestinal infections","sesquiterpene lactones","296.32","0.17","2.0","6.0","2.0","93.06","21.0","3.0","1","",""
"LIT:c841407f","Vernolide","O=C1O[C@@H]2C[C@H]3C(=C)[C@@H](O)[C@H](OC(=O)CC)[C@]3(C)[C@@H]1[C@H]2O","Vernonia amygdalina","Uganda/Kenya","antibacterial","S. aureus","PMC8970882; PMC7685152; PMC9951921","Literature","","","malaria, intestinal infections","sesquiterpene lactones","296.32","0.17","2.0","6.0","2.0","93.06","21.0","3.0","1","",""
